date,home_team,score,away_team
21-01-2024,Osasuna,03-Feb,Getafe
28-01-2024,Sevilla,01-Jan,Osasuna
31-01-2024,Barcelona,1 - 0,Osasuna
04-02-2024,Osasuna,0 - 3,Celta
10-02-2024,Sociedad,0 - 1,Osasuna
17-02-2024,Osasuna,2 - 0,Cadiz
25-02-2024,Las Palmas,01-Jan,Osasuna
04-03-2024,Osasuna,1 - 0,Alaves
09-03-2024,Girona,2 - 0,Osasuna
16-03-2024,Osasuna,02-Apr,Real Madrid
30-03-2024,Almeria,0 - 3,Osasuna
15-04-2024,Osasuna,0 - 1,Valencia
20-04-2024,Vallecano,02-Jan,Osasuna
28-04-2024,Granada,3 - 0,Osasuna
05-05-2024,Osasuna,0 - 2,Betis
11-05-2024,Ath Bilbao,02-Feb,Osasuna
14-05-2024,Osasuna,01-Jan,Mallorca
19-05-2024,Ath Madrid,01-Apr,Osasuna
25-05-2024,Osasuna,01-Jan,Villarreal
12-08-2023,Ath Bilbao,0 - 2,Real Madrid
19-08-2023,Almeria,01-Mar,Real Madrid
25-08-2023,Celta,0 - 1,Real Madrid
02-09-2023,Real Madrid,02-Jan,Getafe
17-09-2023,Real Madrid,02-Jan,Sociedad
24-09-2023,Ath Madrid,03-Jan,Real Madrid
27-09-2023,Real Madrid,2 - 0,Las Palmas
30-09-2023,Girona,0 - 3,Real Madrid
07-10-2023,Real Madrid,4 - 0,Osasuna
21-10-2023,Sevilla,01-Jan,Real Madrid
28-10-2023,Barcelona,01-Feb,Real Madrid
05-11-2023,Real Madrid,0 - 0,Vallecano
11-11-2023,Real Madrid,05-Jan,Valencia
26-11-2023,Cadiz,0 - 3,Real Madrid
02-12-2023,Real Madrid,2 - 0,Granada
09-12-2023,Betis,01-Jan,Real Madrid
17-12-2023,Real Madrid,04-Jan,Villarreal
21-12-2023,Alaves,0 - 1,Real Madrid
03-01-2024,Real Madrid,1 - 0,Mallorca
21-01-2024,Real Madrid,03-Feb,Almeria
27-01-2024,Las Palmas,01-Feb,Real Madrid
01-02-2024,Getafe,0 - 2,Real Madrid
04-02-2024,Real Madrid,01-Jan,Ath Madrid
10-02-2024,Real Madrid,4 - 0,Girona
18-02-2024,Vallecano,01-Jan,Real Madrid
25-02-2024,Real Madrid,1 - 0,Sevilla
02-03-2024,Valencia,02-Feb,Real Madrid
10-03-2024,Real Madrid,4 - 0,Celta
16-03-2024,Osasuna,02-Apr,Real Madrid
31-03-2024,Real Madrid,2 - 0,Ath Bilbao
13-04-2024,Mallorca,0 - 1,Real Madrid
21-04-2024,Real Madrid,03-Feb,Barcelona
26-04-2024,Sociedad,0 - 1,Real Madrid
04-05-2024,Real Madrid,3 - 0,Cadiz
11-05-2024,Granada,0 - 4,Real Madrid
14-05-2024,Real Madrid,5 - 0,Alaves
