date,home_team,score,away_team
24-02-2024,Man United,01-Feb,Fulham
03-03-2024,Man City,03-Jan,Man United
09-03-2024,Man United,2 - 0,Everton
30-03-2024,Brentford,01-Jan,Man United
04-04-2024,Chelsea,04-Mar,Man United
07-04-2024,Man United,02-Feb,Liverpool
13-04-2024,Bournemouth,02-Feb,Man United
24-04-2024,Man United,04-Feb,Sheffield United
27-04-2024,Man United,01-Jan,Burnley
06-05-2024,Crystal Palace,4 - 0,Man United
12-05-2024,Man United,0 - 1,Arsenal
15-05-2024,Man United,03-Feb,Newcastle
19-05-2024,Brighton,0 - 2,Man United
12-08-2023,Newcastle,05-Jan,Aston Villa
19-08-2023,Man City,1 - 0,Newcastle
27-08-2023,Newcastle,01-Feb,Liverpool
02-09-2023,Brighton,03-Jan,Newcastle
16-09-2023,Newcastle,1 - 0,Brentford
24-09-2023,Sheffield United,0 - 8,Newcastle
30-09-2023,Newcastle,2 - 0,Burnley
08-10-2023,West Ham,02-Feb,Newcastle
21-10-2023,Newcastle,4 - 0,Crystal Palace
28-10-2023,Wolves,02-Feb,Newcastle
04-11-2023,Newcastle,1 - 0,Arsenal
11-11-2023,Bournemouth,2 - 0,Newcastle
25-11-2023,Newcastle,04-Jan,Chelsea
02-12-2023,Newcastle,1 - 0,Man United
07-12-2023,Everton,3 - 0,Newcastle
10-12-2023,Tottenham,04-Jan,Newcastle
16-12-2023,Newcastle,3 - 0,Fulham
23-12-2023,Luton,1 - 0,Newcastle
26-12-2023,Newcastle,01-Mar,Nott'm Forest
01-01-2024,Liverpool,04-Feb,Newcastle
13-01-2024,Newcastle,02-Mar,Man City
30-01-2024,Aston Villa,01-Mar,Newcastle
03-02-2024,Newcastle,04-Apr,Luton
10-02-2024,Nott'm Forest,02-Mar,Newcastle
17-02-2024,Newcastle,02-Feb,Bournemouth
24-02-2024,Arsenal,04-Jan,Newcastle
02-03-2024,Newcastle,3 - 0,Wolves
11-03-2024,Chelsea,03-Feb,Newcastle
30-03-2024,Newcastle,04-Mar,West Ham
02-04-2024,Newcastle,01-Jan,Everton
06-04-2024,Fulham,0 - 1,Newcastle
13-04-2024,Newcastle,4 - 0,Tottenham
24-04-2024,Crystal Palace,2 - 0,Newcastle
27-04-2024,Newcastle,05-Jan,Sheffield United
04-05-2024,Burnley,01-Apr,Newcastle
11-05-2024,Newcastle,01-Jan,Brighton
15-05-2024,Man United,03-Feb,Newcastle
19-05-2024,Brentford,02-Apr,Newcastle
12-08-2023,Arsenal,02-Jan,Nott'm Forest
18-08-2023,Nott'm Forest,02-Jan,Sheffield United
26-08-2023,Man United,03-Feb,Nott'm Forest
02-09-2023,Chelsea,0 - 1,Nott'm Forest
18-09-2023,Nott'm Forest,01-Jan,Burnley
